"HolderAddress","Balance","PendingBalanceUpdate"
"0x91861d2fa8e505a0010ca97cc7b157ed883ae52b","300,661.369576678386042223","No"
"0x10def00f8e80b968881e4ea2412ef1709f831128","300,000","No"
"0xdfed6e762429a50c4c5ef86d8206cb138365cab5","299,676.41241111337534627","No"
"0x2d43e433a2cc3920ce4c52a27ee54587a34e2cbf","299,344.14842869698131995","No"
"0x4fe5bd552cbf5d8de22c4f03d857ff6316db2def","298,684.754084141263012887","No"
"0xe31dd4285cfc40d64f8d40834fec97b664750e9d","295,693.370222508336450887","No"
"0xc9bfb98341c4b7a56d00dff19bf5d17b26c9fa11","294,929.805600811421351013","No"
"0x8139f0ead2fbe5cd0ec63d86caf23378994082ec","286,365.39714666762687724","No"
"0x1c26d2dfdace03f0f6d0aaca233d00728b9e58da","283,248.178090513424527506","No"
"0xdd143beff1ab02b278abcd3045c779afd37e434b","282,101.994707356408553354","No"
"0x98d2e329490a7a959da985b68ffd8ed666477e0b","281,352.271806684982202162","No"
"0x3b17f0c62ecf2a47ce0fc7e368a6c2cf262fe3e7","279,368.170646982167927609","No"
"0x4ab56a088abd2d1d6b86253670d1ba1f2d886c10","274,361.85636704346080036","No"
"0x4b489ac53300d0a95d34a5387ca15a7bcef3e0c8","269,668.781299485650874919","No"
"0x1b1091939d6bcbf737fe56389b3c36fa5475ebac","268,493.305161382719401855","No"
"0xef53c18e6d90fbd0a6ef43877274ba8094980f8b","264,713.923285735751260212","No"
"0xf7ee3fd46d6f225af205f09bd5224588832841e8","263,816.850258953184649473","No"
"0x408a551d87185de8a3efdbf847c73f1079022c6c","262,237.947714927674722732","No"
"0xa73fd9cdbd3f452525709efa5f788d8d91264fc4","259,529.658078454738361498","No"
"0x67e4073b59d40ce43556d53f6868246dccd977b1","259,484.956837798956845589","No"
"0x22beef9f4edd799e704dbc2c9aef0a48007f39a0","257,920.596158048072108985","No"
"0xd7397dc76fe7de84ef4f45e32847e619bd22a34e","253,686.108612662697970165","No"
"0x77a01c716980169a051504f4e92ba25556befd0a","253,246.624733560454517619","No"
"0xae8ce999604ae1d23cfcc6a99b08ef49a2961363","250,000","No"
"0x0e1f317f92835fd48805c169aeb46fcbc9148c5c","245,059.518486583559085961","No"
"0x074cbe5758b82f4cc486af9310c22f03c4ff3c92","244,561.777184988281887319","No"
"0xc613f64dca086852ed0035eddc2312265a09863b","244,538.062530650131062431","No"
"0x347ebca718203e185ec370079ae23a3503ec67ae","244,273.056158027265369594","No"
"0x744c7c8066964c58fa9a63cd49db35ef2abfef56","241,826.085723958204935547","No"
"0x6c70785a1481ead53e7df1cb31c75cbd75feadf4","238,232.251908042677069797","No"
"0x4e99712b851ecb439dda126bf28de843312202b4","237,730.392332259280807685","No"
"0xce4f33710d7fea62a426ca1811373e6c2317c42e","234,084.304276580580361967","No"
"0x553af0382bf4ac21ee169e9a922ab0af0cd70545","233,686.713130252646281762","No"
"0x40fb94904257c84877e561edae31672b196bf6d1","227,511.964864368926519544","No"
"0x50a82c7ede7396608f4dfe77848f07e5a114e5fb","226,934.026313787609628629","No"
"0x7dca07f77418784c0c23a8b32dbe1fcc6c131171","226,298.262840714563811608","No"
"0x0967d4249028f2ea25c6a12641cfb5d2c0c1ee6c","224,843.725270108085957151","No"
"0x56818e1fcf271be95c63e3c4897d5aa971f3dbb1","220,000","No"
"0x75e29a7676717b99da65c6faad2e7644d00e2053","217,818.002573463866658621","No"
"0x57dce7e4fd5f94cc153895bdb8752436002aa200","217,496.903444458836077844","No"
"0x3505601bee4aecc5249b61c26f421fbed4e9c627","216,811.109022175632422892","No"
"0x95d6a4882e215965116edc4c416c95de0ef8df9b","216,574.049091645904930377","No"
"0xdba22f0d11107eb7ca73b1e2b3ea501c14536e9b","213,130.180741459649353297","No"
"0xcd2e99c759bd28b5c53477e1fc6743c3b1c8ac2d","210,228.786535797646241379","No"
"0x31280e856b73fc2696fd45da8656054779a65001","209,902.984729718719043312","No"
"0x80112498d27c4fcd226969978cd6e1b9da71146d","209,877.260295390620946394","No"
"0x9415306278a461104c6ba259d7ce47a76686ae46","208,704.791900790043475882","No"
"0xc9b3f752bf270b1f1dc251ec091f598812829312","207,000","No"
"0xf532659e61f9477916fb13f13067a348c7e8ff1f","206,168.484968632425069411","No"
"0x87381f9f3b84aca121a9086ae05e78e65ca59fa4","205,592.60478332936513263","No"
"0xf2485fb2e65428ed6fe652d68772aa8ec1606750","204,482.545446525484237598","No"
"0x2003138865d1ab40e46042edd12373e5c868619e","203,490.781123893554224707","No"
"0x2ec472dec3ac6cac3b291322af9b1afe475d16ad","202,658.401581176843554646","No"
"0x4f15901e935b52f286bc33da2b8de852cfb1668f","201,693.017147259804920091","No"
"0x83168a391a050697283d9127a073877144a9359e","200,947.100224136103103967","No"
"0xc0128c4c6d7d351a91d31e947033f3fc00962a36","200,550.699549417439816651","No"
"0x832e4fb3ba17131eb27e637b7c099ad73dc39b3d","200,000.471501047342243032","No"
"0xc775cda19783dccab55b26903c13280869a4ba96","200,000","No"
"0x5352eed2cac497c9dd822ed7d2a863671dccdb0c","200,000","No"
"0x52a8ba34bfb98679a3a965c04214a4c57d69897b","199,129.478935969465275406","No"
"0x6fe9ccec75fb91fa3a86ca87b52c517ca5cd5a25","198,046.770601316843756135","No"
"0xec7fd42908a91c1810958dd6d3e85254a521dfed","193,002.055583955991636349","No"
"0xce2dae844a2f473cb10e72ea5b5cd82ce1c86c76","188,847.87052581070453381","No"
"0xc64e0ca5a7c46e3b418c643c4f7aa6711261affc","183,661.029639901930903079","No"
